Sub,Exp,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,inst,Age,Gender,Major,Minor,SchoolUGorG,MuscMajMinor,BeginTrain,AbsPitch,YearsPrac,PeakPrac,Live12Mo,TheoryTrain,FormalYrs,NoOfInst,ActListenMin,SubjectNo,SubRaven,RavenB1,RavenB2,RavenB3,RavenTotal,OspanSub,OspanAccError,OspanMathError,OspanAbsoluteScore,OspanPartialScore,OspanB1,OspanB2,OspanB3,OspanSpeedErrTot,SymSub,SymAccErrTot,SymSpeedErrTot,SspanAbsScore,SspanPartiaScore,SspanB1,SspanB2,SspanB3,SymmErrTot,ToneSub,ToneAccErrTot,ToneMathErrTot,TspanAbsScore,TspanPartScore,TspanB1,TspanB2,TspanB3,ToneSpeedErrTot,BeatSub,BeatTotal,BeatAcc,MelodicSub,MelodicTot,MelodicAcc,Native,Paid
39,1,40,44,15,33,33,79,none,20,FEMALE,PSYCHOLOGY,SOCIOLOGY,1,1,,NO,0,0,2,0,0,0,60,39,39,11,7,6,24,39,6,6,4,33,13,9,11,0,39,7,0,7,24,8,6,10,7,39,5,6,6,33,12,13,8,1,39,9,0.5,39,7,0.54,1,1
40,1,,,,,,,,,,,,1,1,,,,,,,,,,40,40,3,5,4,12,40,10,20,0,5,3,2,0,10,40,3,1,7,17,3,7,7,4,40,4,4,6,34,12,9,13,0,40,10,0.56,40,10,0.77,1,1
41,1,55,54,39,36,37,107,Electric Guitar,20,MALE,Creative Writing,NA,1,1,10,No,12,3,8,0,11,4,90,41,41,9,7,9,25,41,2,4,42,56,21,14,21,2,41,3,0,12,25,7,10,8,3,41,12,14,19,43,9,13,21,2,41,15,0.83,41,7,0.54,1,1
42,1,57,53,22,42,42,100,Piano,19,FEMALE,PSYCHOLOGY,BUISNESS,1,1,15,NO,7,1,7,0,0,1,120,42,42,6,6,6,18,42,15,20,40,54,21,15,18,5,42,10,3,11,22,10,6,6,13,42,8,11,28,51,17,19,15,3,42,9,0.5,42,9,0.69,1,1
43,1,37,40,13,28,26,58,voice,20,female,biology,psychology,1,1,15,no,0,0,2,0,1,0,60,43,43,10,9,7,26,43,2,2,58,67,23,21,23,0,43,2,3,25,35,11,13,11,5,43,4,5,43,65,23,21,21,1,43,9,0.5,43,9,0.69,1,1
44,1,50,55,42,45,32,112,voice,20,female,Kinesiology,NA,1,1,8,no,12,4,2,4,12,1,30,44,44,9,6,6,21,44,17,25,12,42,20,10,12,8,44,8,0,26,34,10,14,10,8,44,9,11,7,35,18,9,8,2,44,12,0.67,44,8,0.62,1,1
45,1,42,49,32,29,33,85,my voice,20,FEMALE,MASS COMMUNICATIONS,COMMUNICATION STUDIES,1,1,6,NO,14,3,2,1,3,2,60,45,45,2,6,4,12,45,6,6,15,31,18,7,6,0,45,1,0,7,15,7,5,3,1,45,4,6,0,12,1,4,7,2,45,11,0.61,45,9,0.69,1,1
46,1,37,47,33,38,37,87,Vocals ,18,female ,Business finance ,NA,1,1,13,no,5,2,4,5,5,0,60,46,46,7,8,5,20,46,1,1,54,66,25,25,16,0,46,5,0,16,24,8,10,6,5,46,2,3,9,28,10,7,11,1,46,11,0.61,46,6,0.46,1,1
47,1,37,40,23,30,33,80,voice,22,female,Communication Studies,Business,1,1,16,no,2,1,6,0,0,2,50,47,47,9,8,8,25,47,7,14,38,59,22,17,20,7,47,2,0,33,36,14,11,11,2,47,6,10,35,46,17,17,12,4,47,9,0.5,47,5,0.38,1,1
48,1,48,47,17,31,34,71,I havent played any instruments but i learned how to play the flute from my sister,23,Female,Business Management,NA,1,1,,no,0,0,3,4,0,0,300,48,48,8,10,8,26,48,2,2,63,72,24,23,25,0,48,1,2,34,39,13,14,12,3,48,5,7,25,46,11,14,21,2,48,10,0.56,48,7,0.54,1,1
49,1,51,48,43,35,39,99,guitar,21,FEMALE,Psychology,Biology,1,1,7,NO,13,3,12,8,13,2,120,49,49,8,10,9,27,49,2,3,11,29,10,10,9,1,49,3,0,9,26,11,10,5,3,49,3,4,29,57,19,22,16,1,49,11,0.61,49,10,0.77,1,1
50,1,48,55,20,25,37,69,piano,31,FEMALE,COMMUNICATION STUDIES,NA,1,1,7,NO,3,1,6,0,5,1,120,50,50,6,8,7,21,50,3,3,30,52,21,19,12,0,50,4,1,14,20,5,5,10,5,50,5,5,0,33,10,13,10,0,50,8,0.44,50,6,0.46,1,1
51,1,31,39,18,21,34,64,Guitar,21,MALE,Petroleum Engineering,NA,1,1,10,NO,1,5,0,0,0,0,20,51,51,6,8,5,19,51,3,7,53,67,22,20,25,4,51,2,0,28,35,14,13,8,2,51,4,6,11,52,16,19,17,2,51,11,0.61,51,8,0.62,1,1
52,1,41,50,9,24,34,62,voice,21,MALE,Indisciplinary studies,NA,1,1,,no,0,0,3,0,0,0,30,52,52,6,7,7,20,52,11,16,42,61,19,22,20,5,52,1,0,16,30,9,9,12,1,52,8,10,27,61,22,18,21,2,52,12,0.67,52,6,0.46,1,1
53,1,34,37,12,32,27,69,piano,20,FEMALE,Communication Studies,Business,1,1,12,NO,1,1,2,0,0,1,5,53,53,9,9,5,23,53,3,8,27,60,21,23,16,5,53,1,1,14,32,7,12,13,2,53,1,2,16,47,18,14,15,1,53,9,0.5,53,9,0.69,1,1
54,1,44,38,13,24,31,70,piano,20,FEMALE,ENVIRONMENTAL MANAGEMENT SYSTEMS,CHEMISTRY,1,1,5,NO,1,1,2,0,0,1,30,54,54,9,8,9,26,54,1,2,20,50,15,21,14,1,54,3,1,20,26,10,9,7,4,54,4,5,10,35,10,11,14,1,54,12,0.67,54,11,0.85,2,1
55,1,51,43,18,29,36,72,voice,25,FEMALE,dietetics,psychology,1,1,11,NO,0,0,10,2,2,0,60,55,55,11,9,5,25,55,5,14,32,49,14,18,17,9,55,5,0,18,31,11,7,13,5,55,4,5,28,52,15,20,17,1,55,11,0.61,55,8,0.62,1,1
56,1,51,55,39,29,40,99,drums,20,MALE,MARKETING,NA,1,1,9,no,9,3,5,9,9,5,90,56,56,2,7,4,13,56,5,6,0,3,1,0,2,1,56,14,0,20,25,10,11,4,14,56,2,3,0,25,6,9,10,1,56,6,0.33,56,7,0.54,1,1
58,1,,43,12,25,31,71,I dont play any instruments,19,FEMALE,Communication Disorders,NA,1,1,,NO,0,0,2,0,0,0,varies,58,58,9,8,7,24,58,5,15,18,47,14,17,16,10,58,2,0,6,21,7,6,8,2,58,3,15,19,43,11,16,16,12,58,10,0.56,58,7,0.54,1,1
59,1,50,42,18,30,36,79,Guitar,22,FEMALE,BUSINESS,PSYCHOLOGY,1,1,21,NO,1,2,4,0,0,1,120,59,59,9,8,6,23,59,4,4,43,56,19,19,18,0,59,0,0,32,34,11,9,14,0,59,2,2,43,56,11,23,22,0,59,12,0.67,59,8,0.62,1,1
60,1,24,57,13,28,36,61,none,20,female,child and family studies,sociology,1,1,,no,0,0,2,0,0,0,60,60,60,8,7,9,24,60,8,10,34,56,17,16,23,2,60,11,0,10,28,8,8,12,11,60,7,11,11,41,14,9,18,4,60,14,0.78,60,7,0.54,1,1
61,1,35,30,16,22,30,57,guitar,19,MALE,Natural Resource Ecology and Management,Wildlife Ecology,1,1,16,NO,1,2,1,0,1,1,90,61,61,5,6,5,16,61,4,8,12,35,14,11,10,4,61,1,0,20,28,11,11,6,1,61,9,9,16,46,12,15,19,0,61,7,0.39,61,5,0.38,1,1
62,1,42,46,20,30,38,76,piano,18,MALE,Computer Science,NA,1,1,17,NO,1,1,0,1,1,1,30,62,62,10,9,9,28,62,6,9,56,71,23,25,23,3,62,0,0,28,33,11,12,10,0,62,6,7,52,66,24,24,18,1,62,14,0.78,62,10,0.77,1,1
63,1,45,58,35,30,37,99,clarinet,18,FEMALE,Kinesiolgy,NA,1,1,11,NO,15,2,2,0,6,5,50,63,63,8,8,7,23,63,5,5,0,8,0,8,0,0,63,1,0,3,11,5,2,4,1,63,4,4,12,28,8,11,9,0,63,12,0.67,63,5,0.38,1,1
64,1,39,39,8,23,34,56,none,21,FEMALE,MASS COMMUNICATION,BUSINESS,1,1,,NO,0,0,3,0,0,0,30,64,64,9,9,7,25,64,2,3,55,66,20,23,23,1,64,3,0,13,27,8,9,10,3,64,8,9,15,32,9,12,11,1,64,12,0.67,64,7,0.54,1,1
65,1,47,52,33,41,38,97,tuba,21,FEMALE,PSYCHOLOGY,NA,1,1,13,NO,7,1,2,0,7,4,120,65,65,7,6,6,19,65,2,6,12,34,16,11,7,4,65,11,0,7,14,8,4,2,11,65,1,3,9,27,11,5,11,2,65,12,0.67,65,12,0.92,2,1
66,1,18,31,7,18,28,36,none,18,MALE,UNDECIDED,NA,1,1,,NO,0,0,2,0,0,0,20,66,66,8,8,7,23,66,5,6,31,59,16,22,21,1,66,2,0,16,33,12,11,10,2,66,2,4,24,52,17,18,17,2,66,8,0.44,66,10,0.77,1,1
67,1,36,52,25,28,33,74,voice,21,FEMALE,COMMUNICATION MAJOR,NA,1,1,15,NO,4,1,3,4,4,1,120,67,67,8,7,6,21,67,5,5,14,36,15,16,5,0,67,2,2,9,28,8,10,10,4,67,4,6,23,48,16,15,17,2,67,11,0.61,67,7,0.54,1,1
68,1,27,53,25,32,24,67,Keyboard,20,MALE,Sports Administration,Communication and Business,1,1,6,NO,4,1,3,4,4,1,30,68,68,7,9,9,25,68,3,3,61,71,23,25,23,0,68,1,0,38,40,14,12,14,1,68,2,3,55,70,22,23,25,1,68,12,0.67,68,8,0.62,1,1
69,1,42,48,14,23,32,68,piano,18,FEMALE,Kinesology,NA,1,1,15,No,2,1,4,0,0,1,60,69,69,8,9,7,24,69,3,4,16,38,15,12,11,1,69,0,2,4,21,6,5,10,2,69,5,8,16,34,6,16,12,3,69,12,0.67,69,7,0.54,1,1
70,1,34,49,27,28,32,73,sax,20,FEMALE,English ,Psychology ,1,1,9,no,5,2,1,0,5,1,60,70,70,8,9,7,24,70,2,2,17,49,20,12,17,0,70,8,1,10,19,6,6,7,9,70,9,10,6,33,10,12,11,1,70,13,0.72,70,9,0.69,1,1
71,1,30,41,30,21,28,65,piano,19,FEMALE,BIOLOGY,NA,1,1,16,NO,3,5,0,3,3,1,60,71,71,6,6,7,19,71,7,10,63,70,21,25,24,3,71,4,0,15,31,11,10,10,4,71,8,9,31,52,13,20,19,1,71,14,0.78,71,10,0.77,1,1
72,1,33,54,33,31,35,83,piano,22,female,psychology,NA,1,1,10,No,3,2,2,1,3,1,30,72,72,10,7,9,26,72,4,5,60,66,23,18,25,1,72,3,2,11,29,12,9,8,5,72,10,12,22,47,19,15,13,2,72,14,0.78,72,10,0.77,1,1
