Sub,Exp,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,inst,Age,Gender,Major,Minor,SchoolUGorG,MuscMajMinor,BeginTrain,AbsPitch,YearsPrac,PeakPrac,Live12Mo,TheoryTrain,FormalYrs,NoOfInst,ActListenMin,SubjectNo,SubRaven,RavenB1,RavenB2,RavenB3,RavenTotal,OspanSub,OspanAccError,OspanMathError,OspanAbsoluteScore,OspanPartialScore,OspanB1,OspanB2,OspanB3,OspanSpeedErrTot,SymSub,SymAccErrTot,SymSpeedErrTot,SspanAbsScore,SspanPartiaScore,SspanB1,SspanB2,SspanB3,SymmErrTot,ToneSub,ToneAccErrTot,ToneMathErrTot,TspanAbsScore,TspanPartScore,TspanB1,TspanB2,TspanB3,ToneSpeedErrTot,BeatSub,BeatTotal,BeatAcc,MelodicSub,MelodicTot,MelodicAcc,Native,Paid
959,2,NA,NA,NA,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,7,6,7,20,,,,,,,,,,,,,,,,,,,,3,5,39,62,16,23,23,2,,,,,,,,
960,2,38,39,23,24,32,59,Piano,18,FEMALE,,,,,,,,,,,,,,,,8,5,8,21,,,,,,,,,,,,,,,,,,,,1,1,27,51,17,20,14,0,,,,,,,,
962,2,34,49,7,26,36,54,voice,20,FEMALE,,,,,,,,,,,,,,,,8,8,8,24,,,,,,,,,,,,,,,,,,,,1,2,12,30,13,12,5,1,,,,,,,,
963,2,28,52,17,21,39,56,piano,19,FEMALE,,,,,,,,,,,,,,,,7,8,5,20,,,,,,,,,,,,,,,,,,,,3,4,32,59,21,20,18,1,,,,,,,,
964,2,46,42,28,31,31,81,singing,19,MALE,,,,,,,,,,,,,,,,6,7,7,20,,,,,,,,,,,,,,,,,,,,4,5,31,52,18,14,20,1,,,,,,,,
965,2,NA,NA,NA,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,10,9,5,24,,,,,,,,,,,,,,,,,,,,3,4,0,34,9,13,12,1,,,,,,,,
966,2,29,42,28,20,34,60,Upright Bass,19,MALE,,,,,,,,,,,,,,,,10,8,12,30,,,,,,,,,,,,,,,,,,,,1,1,40,56,17,22,17,0,,,,,,,,
967,2,35,44,10,26,34,57,drums,19,female,,,,,,,,,,,,,,,,5,6,4,15,,,,,,,,,,,,,,,,,,,,10,10,16,37,12,15,10,0,,,,,,,,
968,2,50,63,41,41,41,113,piano,21,FEMALE,,,,,,,,,,,,,,,,8,9,7,24,,,,,,,,,,,,,,,,,,,,8,10,25,47,17,14,16,2,,,,,,,,
969,2,36,42,19,30,33,60,Clarinet,19,Female,,,,,,,,,,,,,,,,8,8,8,24,,,,,,,,,,,,,,,,,,,,4,5,42,57,19,16,22,1,,,,,,,,
971,2,38,51,32,43,31,97,voice,19,FEMALEn,,,,,,,,,,,,,,,,8,3,3,14,,,,,,,,,,,,,,,,,,,,9,11,25,52,12,20,20,2,,,,,,,,
972,2,44,51,15,40,37,83,voice,22,FEMALE,,,,,,,,,,,,,,,,10,9,7,26,,,,,,,,,,,,,,,,,,,,0,2,18,50,14,17,19,2,,,,,,,,
973,2,35,45,18,27,35,67,none,19,FEMALE,,,,,,,,,,,,,,,,9,5,7,21,,,,,,,,,,,,,,,,,,,,5,8,32,64,23,20,21,3,,,,,,,,
974,2,37,60,27,45,38,105,voice,19,FEMALE,,,,,,,,,,,,,,,,7,9,7,23,,,,,,,,,,,,,,,,,,,,5,6,40,55,21,16,18,1,,,,,,,,
975,2,52,46,15,24,41,72,guitar,19,FEMALE,,,,,,,,,,,,,,,,7,8,7,22,,,,,,,,,,,,,,,,,,,,5,5,30,61,22,17,22,0,,,,,,,,
